Year,Month,Air Pollutants (PPM),Green Plant Count (in thousands),Vehicles (in thousands),Factory Emissions (CO2 in metric tons),Land Use Change (%),Biomass Combustion (in metric tons),CO2 Levels (PPM)
1950,1,165.86164994409262,729.7921391332944,412.0383198762503,16.064557671679065,4.350742090245889,47.00480134954122,415.7549967703693
1950,1,67.17592947034721,211.6026951617283,347.33774971098416,84.65529466362565,3.8693740553099847,42.28053801661774,309.02279146030406
1950,1,185.88146331443008,942.1532641525728,497.2111370155382,51.93649824641481,2.876262042923645,12.04890703740567,378.509324956142
1950,1,151.3183427034876,435.9294631148279,391.7351510990965,87.50631090673298,4.370736401483311,11.573678004792004,287.1525651422197
1950,2,185.6286811328642,751.6875184951463,402.5400357074475,83.4592739077912,4.561894150160242,11.662154460655529,314.86687481700903
1950,2,196.9979160930664,290.3250531752913,224.55516422238554,76.96778825468088,0.43615878919445905,38.75923853187454,390.1004420739987
1950,2,119.57515144250783,724.696779007602,396.5385423292174,98.56378641283476,2.706620494013079,49.01662717871903,314.15479473370505
1950,2,156.1182187599352,892.1940620370111,321.9683616015228,59.341889035364346,2.9055360127194714,13.385510026865816,331.7636658635408
1950,3,185.54268046980658,849.0355936052329,191.19513932979729,19.598744568513702,4.432643247169878,18.357515073356033,364.57937336148035
1950,3,166.86012715392044,434.9081764072258,234.7878344095058,97.50873302237946,2.832366714213846,19.952380990731175,340.2528885287176
1950,3,165.0393389523739,934.8703475329663,199.80626209002773,93.70437972773757,4.8842982390647744,49.00309905852652,348.53481490186147
1950,3,73.64170235943021,900.3950038174962,121.4049403372801,24.803585791510322,4.762145223861808,11.462442107254804,392.55788967367323
1950,3,111.32208351101154,260.05234224449873,246.39549867263625,87.31455418301836,3.6114100300224066,46.08766462476388,341.04437434072446
1950,3,81.82418943965439,192.5329476079482,150.28983945159825,86.72767473785927,2.0747939604388503,34.361653909177406,287.0872158120842
1950,4,148.9025454648875,811.2544618355575,305.49250503397707,37.41630125646975,4.795446441881098,33.07313036277057,389.19885754447085
1950,5,87.38056558869309,883.7493591568151,92.1134034818418,27.102977185199197,1.6462323182271348,14.481968287027275,365.3097167531824
1950,5,62.27922588744409,941.3513219577119,485.3973612809036,23.221710106498627,3.2447381255895165,11.545924158928365,347.4237694312666
1950,5,156.03092683151579,436.19369872717397,345.99085926179094,84.75774204692885,2.4559940985626327,44.4239521213175,402.1063796835384
1950,6,136.57574399359942,368.78141222806744,423.64655626761555,86.70021220703413,0.9070405865277176,42.516129270885735,310.6151719297704
1950,6,130.15783463528948,561.8913925885732,196.86257970107764,27.903557229875194,0.8251193773830939,24.950908989748687,319.35119140479463
1950,6,142.98469276405217,850.1248915120435,357.8624547678757,70.42772351509093,3.907641093623276,24.014462299159632,350.07169322045144
1950,6,58.412025389550635,976.1564652162125,423.30787376886275,94.25595501158247,0.6462292373726142,31.81146281285424,302.6981890921405
1950,7,119.40317475317406,394.53395065257905,129.21476048600033,13.529665115201313,1.7839292568482412,41.06867619332049,361.40583096771695
1950,7,65.26317927515237,445.696133208213,446.4543511455922,61.48303895444876,1.6811364432078157,29.300294531289573,369.0263028523829
1950,7,145.99345776718556,772.7154431335786,196.07144155066914,73.94595845779821,1.1269955556232014,6.697433871159916,345.1724632201403
1950,7,103.49326982390781,638.4239135912641,169.47345372734105,34.576686403169234,0.27201397338799504,21.28042210340135,293.77143833774653
1950,7,99.3957969296899,368.43144073883616,387.39540125041106,26.6432569038252,4.910260729713007,18.104816414801206,324.24707836374546
1950,7,138.5571447805791,353.9279158495391,477.31774787954186,77.04318405546998,4.373636811249051,30.405391058521126,352.27245133519443
1950,7,97.72449056339813,509.529357209795,155.34168627473235,46.25874867365386,4.214808374190489,11.135332903252253,290.60609229032605
1950,7,110.53842061477215,609.9412122551719,256.42582422376074,82.2303010278627,4.065015019408797,20.56973412594635,348.85237526614293
1950,7,143.83346595837335,635.4372136607427,243.84058176244477,47.93523293714408,4.223163358771412,42.32299673862641,369.5032287633629
1950,7,107.75230570334257,231.85300645487672,492.7936948899773,53.29639206076181,0.7306357164639138,26.252930384368675,392.4806611437922
1950,8,158.44151365841705,321.86469196874356,453.46048197092836,10.746262733648098,2.1485114595727994,34.41660784113667,397.0481746585249
1950,8,89.82488258274233,960.101795965099,102.96637802381596,78.99302006748117,4.199895935061317,12.590012228965714,339.4587009088952
1950,8,156.6394455121825,658.4218714463296,405.55561762476964,47.671224002990215,0.6583626483636884,31.686584788218664,284.44233671785895
1950,8,175.20027826845578,400.4081692713406,394.9173901952529,18.907083702910732,1.4219482220538127,16.626092680328355,320.57333411476844
1950,8,183.20132690039569,456.023900724487,161.57531468933652,37.812962331203,3.4082649014737347,32.44511457523841,331.5753916926164
1950,8,118.6752893837103,398.058772690961,356.2830120369209,15.769719789980034,4.4508117820379445,8.61463059004534,301.0884601889741
1950,9,175.8456645011102,909.7973511033936,51.962226503683375,46.76006552032178,1.1706758225614755,38.70697620255536,414.8111442831562
1950,9,70.87400163619427,319.94357170765466,431.70310964878195,94.12953857181145,4.462282586042869,27.315349354835856,385.179245372865
1950,9,142.413848172499,358.71140215367467,108.8736928580986,99.49172121122825,0.8604706166169029,39.97583164927202,364.1207565389402
1950,9,69.66818142747498,971.0988849409767,370.7044540741371,50.593467653318385,1.2021991783724961,10.582315181291,377.71555685429416
1950,9,93.51383974261219,402.13575178294195,247.55099787050256,94.97651825671133,4.7424011067438,16.978248287644753,323.1873338953251
1950,9,153.78215692756245,253.0733619405973,429.22474701942167,71.0833163355232,0.6329097859250721,19.941803179803458,323.19612471247626
1950,10,134.0598430729914,141.13434217472874,229.30308691078505,42.55100965292737,3.705729923073789,8.960392049832603,395.9872558017174
1950,10,122.42151399925555,169.00514377146095,118.68868891677653,95.90276197847723,2.0213067361701142,24.010455663014277,287.31311790217546
1950,10,70.54733334642918,800.5785503821335,227.28257390319135,41.04572923027613,2.9589459788546963,6.224642497215141,304.5598447085831
1950,10,86.2940953511744,819.7665793415553,453.42870580018916,19.13108249296311,2.9405588555746736,7.07318193818409,359.28330263918815
1950,10,152.5764545968042,384.5356226004957,394.22269328072724,82.6540710944868,4.40393748328829,29.98983279215974,332.64741316910136
1950,10,154.29111994166254,543.0307657410499,244.34167532561116,77.84649757514494,4.699481790447683,48.22431222118012,334.4821378680994
1950,10,170.06162937405173,259.72564717673424,323.15000044017614,86.70544293364718,1.212735290682051,33.485148925239386,339.2730720726367
1950,10,83.74250658155509,168.16568076681284,81.64885220799782,59.29168535895778,4.014629714617327,28.869260235131414,329.1703466969955
1950,10,100.20840303719778,214.31869280765906,358.087249338398,12.53669458234094,4.321518413008461,24.83695917777209,340.2290969710443
1950,10,179.0902624790436,817.0152814657238,204.58982506167123,37.234425103116166,0.496487324962428,6.336091778831834,351.38562199453025
1950,10,197.950409323713,961.9701698055253,322.5250883689896,63.734901905351556,1.7703030915151874,6.979019407288681,366.2872088806993
1950,10,128.4774601277324,937.2762216881994,168.2387185155859,13.320895550386027,3.518513763219013,8.757586037440912,329.7390157442681
1950,11,108.79516104116945,568.986561622113,269.3350300506306,28.267428432195658,0.2967373502831938,21.718853863411148,385.8195872793163
1950,11,95.81491491318063,243.3664832239869,369.6141127283222,14.394964026675577,4.976927510931192,24.73803715319012,314.1546429100174
1950,11,72.2602544729323,150.36027437316397,247.87788694859063,23.98329227088714,4.032773113121343,25.78254402520384,357.7206996757344
